+-----+------------+-----------------+--------+----------+---------------+--------+--------------+-------------+------------------+---------------+---------------+------------------+------------------------+--------------------------------+---------------+--------+---------------+-----------------------+-----------------------+-----------------------+-------------------+
|  ID | First Name |    Last Name    | Number | Position | Blocked Kicks | Losses | Losses Yards | Net Offence | Passes Attempted | Passes Rating | Passes Sacked | Passes Succeeded | Passes Succeeded Yards | Passes Succeeded Yards Longest | Penalties Yds | Rushes | Rushing Yards | Rushing Yards Average | Rushing Yards Longest | Total Defensive Plays | Touchdowns Passes |
+-----+------------+-----------------+--------+----------+---------------+--------+--------------+-------------+------------------+---------------+---------------+------------------+------------------------+--------------------------------+---------------+--------+---------------+-----------------------+-----------------------+-----------------------+-------------------+
| 256 |   Jaelon   |      Acklin     |   23   |    wr    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 257 |    Adam    |     Auclair     |   32   |    lb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           8           |                   |
| 259 |    Nate    |      Behar      |   80   |    wr    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 260 |  Jackson   |     Bennett     |   22   |    rb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |   3    |       3       |           1           |           4           |           0           |                   |
| 262 |  Anthony   |     Gosselin    |   45   |    rb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           2           |                   |
| 264 |   Justin   |      Hardy      |   2    |    wr    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 265 |   Richie   |      Leone      |   13   |    k     |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 267 |  Lorenzo   |    Mauldin IV   |   94   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           1           |                   |
| 269 |   Lewis    |       Ward      |   10   |    k     |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 270 |  Devonte   |     Williams    |   31   |    rb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |   10   |       47      |          4.7          |           12          |           0           |                   |
| 272 |   Marco    |      Dubois     |   89   |    rb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 274 |   Siaosi   |     Mariner     |   82   |    wr    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 275 |   Tevaun   |      Smith      |   15   |    wr    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 276 |    Nick    |     Arbuckle    |   9    |    qb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 280 |   Dustin   |       Crum      |   18   |    qb    |       0       |   5    |      41      |      41     |        26        |   151.92308   |       5       |        21        |          292           |               55               |       0       |   9    |       42      |        4.66667        |           9           |           0           |         3         |
| 284 |    Shaq    |      Evans      |   1    |    wr    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 287 |    Gary    |   Johnson Jr.   |   48   |    lb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           2           |                   |
| 289 |    Ante    | Milanovic-Litre |   34   |    rb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 299 |   Jovan    |   Santos-Knox   |   5    |    lb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           6           |                   |
| 307 |   Thomas   |     Schaffer    |   91   |    dt    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 366 |   Kevin    |     Francis     |   43   |    lb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           2           |                   |
| 424 |   Daniel   |    Adeboboye    |   21   |    rb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           4           |                   |
| 426 |   Boris    |       Bede      |   14   |    k     |       0       |        |              |      0      |        1         |    39.58333   |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 427 |   Dejon    |     Brissett    |   18   |    wr    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 428 |  Brandon   |      Calver     |   44   |    rb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
| 429 |    Jack    |      Cassar     |   45   |    lb    |       0       |        |              |      0      |                  |               |               |                  |                        |                                |       0       |        |               |                       |                       |           0           |                   |
